"","sample_key","metal","site","analyst","X1","conc_blanked","conc_blanked_error","conc_unblanked","conc_unblanked_error"
"65",22,"Cr53","E","SEP",75,26535.0220051391,673.180615392726,25516.9050765871,628.013412429096
"66",22,"Pb208","E","SEP",73,124024.090218959,3515.71039819697,122840.039629392,2828.27109171544
"67",23,"As75","QC","SEP",84,15768.6485805225,441.076847794104,12745.5440037454,304.124538366818
"68",23,"Cd111","QC","SEP",80,2699.18480926426,380.350832682849,-1512.16936440508,-375.935773130297
"69",23,"Cd114","QC","SEP",81,2958.33316754109,85.367789622445,-1246.52242479805,-49.7424241315042
"70",23,"Cr52","QC","SEP",82,67268.2718670463,1767.97640360273,65643.5837494974,1716.83272111475
"71",23,"Cr53","QC","SEP",79,68566.3955366571,1733.0932233756,67014.0539472383,1677.45481942549
"72",23,"Pb208","QC","SEP",83,1362524.02729731,32615.7263072106,1360718.68360582,32423.2550048276
"73",24,"As75","C","SGB",85,6074.42543446343,259.764353661703,3969.89598122593,174.010277024299
"74",24,"Cd111","C","SGB",87,206.709201247231,343.406275949505,-2725.01832302869,-348.539479868628
"75",24,"Cd114","C","SGB",90,328.422368665943,39.1763938354643,-2598.78117853068,-67.6938488432035
"76",24,"Cr52","C","SGB",88,56490.5553652435,1438.28030448536,55359.5313107095,1405.31005691794
"77",24,"Cr53","C","SGB",86,58294.5385612426,1413.18422590517,57213.8784274472,1377.36841843842
"78",24,"Pb208","C","SGB",89,321154.2819716,7707.90776266264,319897.49482598,7365.57726727923
"79",26,"As75","C","AWB",101,2411.57962538323,361.498151721666,384.309497019866,321.21280366321
"80",26,"Cd111","C","AWB",99,146.816357167294,321.772038540991,-2677.28459581401,-327.492446645543
"81",26,"Cd114","C","AWB",97,188.005949381274,35.3076332435311,-2631.73710612317,-68.5947337165581
"82",26,"Cr52","C","AWB",100,29104.1405390676,777.583363732807,28014.6374785664,737.495123277761
"83",26,"Cr53","C","AWB",102,29973.7052226635,782.965169007333,28932.717174344,739.087107799886
"84",26,"Pb208","C","AWB",98,249134.445741136,6293.09715642986,247923.796475046,5904.91992976293
"85",27,"As75","QC","AWB",108,14334.7081713797,369.782911814444,12348.9426497382,292.050190046555
"86",27,"Cd111","QC","AWB",106,2487.23523934191,125.584765676611,-279.047469412105,-110.871763206874
"87",27,"Cd114","QC","AWB",103,2593.47382115635,62.6795451132307,-168.540210012314,-5.34404898314988
"88",27,"Cr52","QC","AWB",104,59813.5173206677,1534.25116837806,58746.3198204447,1503.91213225009
"89",27,"Cr53","QC","AWB",105,61179.9678404814,1493.70813879818,60160.2920972875,1460.88488695872
"90",27,"Pb208","QC","AWB",107,1314692.75967982,30676.4751025556,1313506.89621853,30580.5835827847
"91",38,"As75","C","GB",110,2963.12989773247,381.223339365753,579.998217315899,329.063573201993
"92",38,"Cd111","C","GB",109,204.963172617483,636.870468277417,-3114.87287467718,-639.634990296562
"93",38,"Cd114","C","GB",114,201.831959846521,57.1260236402289,-3112.88121635572,-81.4303151088541
"94",38,"Cr52","C","GB",111,42940.3496611977,1002.55543819758,41659.5981604161,961.989563914793
"95",38,"Cr53","C","GB",112,43834.2302664316,979.261253370017,42610.509972734,933.399204738104
"96",38,"Pb208","C","GB",113,342509.827126839,7388.59405207176,341086.663741,6936.79526061225
"97",39,"As75","QC","GB",115,11311.6007823083,457.522954369489,9225.66342621369,402.895221199538
"98",39,"Cd111","QC","GB",119,1914.49517702904,181.560651858946,-991.332513512543,-177.111225234136
"99",39,"Cd114","QC","GB",118,2062.55018775003,63.6096868486406,-838.79349199603,-43.5914236002222
"100",39,"Cr52","QC","GB",117,46238.7264514866,1161.08877186933,45117.6942310229,1126.79901587141
"101",39,"Cr53","QC","GB",120,47518.361490511,1138.79318226593,46447.2482595423,1101.06101575014
"102",39,"Pb208","QC","GB",116,975237.188087614,22073.0230551234,973991.503808083,21939.8378080542
"103",40,"As75","B","AB",121,2930.58026674428,247.098063258673,586.346105627003,158.678748424424
"104",40,"Cd111","B","AB",122,114.847854871795,341.134503390071,-3150.80176714839,-346.431486834237
"105",40,"Cd114","B","AB",126,240.471149002172,38.3014488667218,-3020.13921752217,-67.9380675470774
"106",40,"Cr52","B","AB",124,14805.0374534874,402.09611534646,13545.1904023543,335.138469802841
"107",40,"Cr53","B","AB",123,15092.8438049094,421.184792982449,13889.0970964451,345.837951467987
"108",40,"Pb208","B","AB",125,159732.83886328,4053.82393329849,158332.904376508,3220.24891264695
"109",41,"As75","B","LF",127,4409.87666005512,352.739453916506,2185.65854552195,296.377645843689
"110",41,"Cd111","B","LF",129,168.238026826596,935.663149644916,-2930.2225132902,-937.763358267054
"111",41,"Cd114","B","LF",131,434.638731443173,60.848519811608,-2659.04054426603,-81.6710433296407
"112",41,"Cr52","B","LF",132,19558.6857743089,526.371386160048,18363.3381937857,472.317523609403
"113",41,"Cr53","B","LF",130,20160.8355978439,552.098019506287,19018.7162316625,493.182956530034
"114",41,"Pb208","B","LF",128,949115.234095203,21503.8703480657,947786.971033311,21351.133554072
"115",44,"As75","QC","KAD",148,17311.6878085688,406.221309963866,15000.5175989483,321.531828409437
"116",44,"Cd111","QC","KAD",147,2871.40774088253,144.106021210406,-348.181942886315,-131.062565481015
"117",44,"Cd114","QC","KAD",150,3169.42152262831,70.4152549396716,-45.1999811805979,-21.2387312544976
"118",44,"Cr52","QC","KAD",146,72651.677627032,1670.74263261356,71409.599927819,1638.75286801422
"119",44,"Cr53","QC","KAD",145,74758.8466493712,1614.54791114526,73572.0780327047,1579.09542566238
"120",44,"Pb208","QC","KAD",149,1489667.18227501,30388.0274410301,1488286.99298551,30266.524082286
"121",45,"As75","B","KAD",152,3508.05170481579,388.015756967241,1401.25497516026,345.149820223439
"122",45,"Cd111","B","KAD",156,201.457108583365,4441.38866782948,-2733.42885886363,-4441.77224368307
"123",45,"Cd114","B","KAD",154,321.70611565938,91.585501779508,-2608.65100088414,-106.354796724243
"124",45,"Cr52","B","KAD",155,19043.1363090798,510.074844485509,17910.8937664115,459.526754781525
